Title,location,bhk,bath,total_sqft,price_per_sqft,price,area_type
3 BHK Apartment , Brookefield,3,3,1505,6378,96,Built-upArea
3 Bedroom House , Bellandur,3,3,1200,6706,80.47,PlotArea
2 Bedroom House , Whitefield,2,2,1200,3125,37.5,PlotArea
3 Bedroom House , Whitefield,3,3,1200,4750,57,PlotArea
1 Bedroom House , Nelmangala RTO Driv,1,1,1200,5000,60,PlotArea
3 Bedroom House , Bidarahalli,3,2,1200,5333,64,PlotArea
2 BHK Apartment , Akshayanagara East,2,2,1180,3305,39,Superbuilt-up
3 BHK Apartment , Jakkur,3,3,1760,7386,130,Superbuilt-up
3 BHK Apartment , Sonnenahalli,3,3,1650,8000,132,Superbuilt-up
2 BHK Apartment , Shree Ananth Nagar Layout,2,2,900,7222,65,CarpetArea
2 BHK Apartment , Dodda Nekkundi Extension,2,2,1349,6745,91,Built-upArea
3 BHK Apartment , ITI Layout,3,3,1540,8441,130,Superbuilt-up
2 BHK Apartment , Sector 7,2,2,1200,6250,75,Superbuilt-up
2 BHK Apartment , Basavanapura,2,2,1188,6313,75,Superbuilt-up
3 BHK Apartment , Kanakapura Road,3,3,1843,6782,125,Superbuilt-up
3 BHK Apartment , Whitefield,3,3,1564,9271,145,Built-upArea
2 BHK Apartment , Gollahalli,2,2,1395,5376,75,Superbuilt-up
3 BHK Apartment , Alfa Gardens,3,3,1875,5067,95,Built-upArea
2 BHK Apartment , Basaveshwara Nagar,2,2,1000,6000,60,CarpetArea
3 BHK Independent Builder Floor , 5th Phase JP Nagar,3,3,1700,7059,120,Built-upArea
2 BHK Apartment , Bannerghatta Road,2,2,900,3555,32,Superbuilt-up
2 BHK Apartment , Bannerghatta Road,2,2,949,5555,50,Superbuilt-up
2 BHK Apartment , Jakkur,2,2,1301,5380,70,Superbuilt-up
3 BHK Apartment , 9th Phase JP Nagar,3,2,1855,5121,95,Superbuilt-up
2 BHK Apartment , Canara Bank Layout,2,2,1080,5092,55,CarpetArea
3 BHK Apartment , Budigere Cross,3,3,1697,6482,110,Superbuilt-up
2 BHK Apartment , BTM Layout,2,2,1200,5416,65,Superbuilt-up
3 BHK Independent Builder Floor , 8th Phase JP Nagar,3,2,1335,7440,100,CarpetArea
2 BHK Apartment , Talacauvery Layout,2,2,1420,7042,100,Superbuilt-up
1 BHK Apartment , Harsha Layout,1,1,520,3269,17,CarpetArea
2 BHK Apartment , Kadugodi,2,2,1250,6800,85,CarpetArea
2 BHK Apartment , Kereguddadahalli,2,2,1000,4000,40,Superbuilt-up
3 Bedroom House , Sarjapur,3,3,1200,6704,80.45,PlotArea
3 BHK Apartment , Chandapura,3,3,1760,2840,50,Superbuilt-up
2 BHK Apartment , Sanjay nagar,2,2,850,7059,60,Built-upArea
3 BHK Apartment , Tumkur Road,3,3,1395,3943,55,Built-upArea
